PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
257.887,-34.358,-85.198,-85.278,-89.612,-90.538,-88.018,-89.776,-85.944,-87.576,-87.250,-89.503,-94.619,-91.168,-86.712,-86.113,-85.436,-82.738,-88.697,-87.419,-88.402,-85.910,-86.950,-91.317,-88.900,-88.236,-86.630,-86.145,-86.949,-86.941,-92.202,-87.134,-86.458,-93.778,-86.258,-83.846,-88.573,-85.290,-86.102,-92.656,-89.206,-93.794,-95.535,-91.695,-89.930,-85.205,-85.552,-85.623,-89.323,-91.536,-88.791,-87.320,-86.244,-86.934,-91.141,-85.754,-86.619,-84.146,-88.866,-85.741,-87.898,-89.964,-88.035,-85.946,-85.947,-90.350,-85.298,-85.450,-86.135,-85.544,-87.972,-86.212,-97.017,-91.776,-92.080,-87.510,-88.356,-87.583,-89.681,-89.474,-85.018,-84.804,-91.246,-87.749,-89.944,-88.646,-87.332,-89.998,-89.972,-90.031,-90.157,-90.476,-89.036,-89.273,-88.737,-92.079,-84.775,-84.604,-88.860,-88.178,-88.776,-91.503,-92.214
275.393,-34.358,-90.673,-88.355,-88.397,-85.076,-81.944,-86.117,-92.427,-93.693,-86.277,-87.410,-90.089,-89.091,-91.538,-89.639,-84.512,-85.039,-86.079,-88.886,-90.629,-87.637,-88.286,-89.419,-93.276,-91.035,-90.790,-85.637,-86.458,-89.007,-90.789,-85.780,-91.487,-86.701,-89.775,-91.002,-82.852,-85.219,-89.152,-93.845,-91.378,-88.623,-89.871,-89.207,-86.896,-87.669,-92.588,-91.095,-85.548,-85.573,-87.263,-86.430,-84.789,-89.245,-91.011,-89.364,-88.932,-89.185,-86.516,-90.449,-88.361,-88.889,-86.995,-85.930,-89.481,-90.281,-89.023,-87.462,-85.206,-87.179,-94.490,-87.024,-87.250,-91.113,-91.145,-91.044,-87.363,-83.272,-83.356,-89.328,-86.541,-90.365,-88.327,-90.152,-88.920,-88.925,-87.519,-88.591,-87.494,-87.469,-90.386,-94.247,-85.088,-84.459,-89.906,-87.916,-90.417,-91.847,-92.112,-90.621,-90.065,-87.478,-90.991
292.899,-34.358,-95.227,-87.332,-88.611,-86.284,-88.051,-93.701,-86.094,-85.909,-88.038,-86.137,-91.753,-90.944,-84.306,-88.439,-92.318,-90.265,-87.225,-88.923,-89.640,-92.965,-86.947,-86.918,-88.980,-86.803,-84.938,-88.262,-85.764,-93.722,-91.842,-82.312,-87.598,-86.790,-86.837,-87.501,-87.663,-85.628,-85.887,-83.735,-87.415,-95.688,-85.007,-84.138,-90.699,-89.199,-94.894,-88.893,-85.718,-85.658,-90.406,-89.635,-88.248,-87.432,-87.859,-91.872,-88.814,-87.434,-88.956,-92.624,-89.099,-90.346,-91.610,-86.186,-91.989,-88.013,-87.338,-93.507,-90.299,-87.784,-84.213,-83.401,-91.725,-90.316,-88.799,-87.435,-87.860,-88.177,-88.578,-88.689,-93.869,-86.602,-91.039,-89.619,-88.580,-86.651,-89.571,-88.684,-89.323,-87.274,-87.018,-86.805,-88.485,-90.859,-85.611,-87.927,-88.132,-87.154,-82.757,-88.932,-86.746,-90.058,-91.542
310.405,-34.358,-88.796,-88.068,-88.604,-88.089,-87.715,-91.633,-91.798,-87.897,-87.569,-86.682,-90.443,-93.305,-87.999,-85.034,-91.312,-84.222,-90.517,-91.100,-85.440,-92.601,-88.213,-92.377,-91.104,-89.351,-89.724,-87.869,-90.440,-86.829,-90.082,-90.926,-86.682,-87.574,-88.340,-88.134,-87.941,-89.520,-90.913,-89.425,-91.115,-93.855,-90.433,-91.411,-89.653,-89.748,-91.334,-88.752,-83.331,-86.697,-91.086,-92.078,-88.197,-90.762,-91.646,-88.281,-94.860,-89.255,-89.337,-86.191,-96.530,-92.235,-92.914,-87.583,-86.244,-86.761,-89.581,-90.857,-87.703,-87.837,-89.290,-87.340,-87.474,-87.368,-85.284,-86.757,-84.357,-88.718,-88.568,-91.181,-84.230,-87.355,-87.570,-89.921,-90.230,-89.351,-84.382,-89.408,-93.142,-86.724,-88.792,-90.084,-90.209,-88.167,-90.879,-88.219,-87.443,-85.075,-85.083,-92.759,-91.757,-87.803,-87.454
327.911,-34.358,-86.060,-89.189,-88.112,-88.198,-84.604,-85.151,-87.086,-89.483,-88.949,-91.785,-90.664,-91.166,-88.495,-91.537,-88.721,-91.216,-89.229,-92.660,-89.931,-91.081,-88.714,-89.836,-87.712,-94.787,-90.640,-89.492,-89.655,-90.112,-91.481,-88.265,-94.633,-89.495,-93.352,-90.435,-90.935,-92.139,-87.462,-86.144,-91.701,-91.775,-93.229,-85.363,-86.415,-86.847,-87.080,-91.845,-93.181,-91.432,-91.331,-90.923,-89.356,-89.138,-89.509,-88.330,-89.164,-85.781,-89.166,-89.097,-87.320,-86.460,-88.719,-93.599,-91.271,-90.862,-91.108,-89.974,-91.142,-88.545,-86.485,-89.984,-89.120,-88.397,-92.767,-92.773,-88.245,-90.151,-90.614,-90.872,-91.565,-89.734,-85.438,-88.804,-89.506,-87.630,-85.394,-87.742,-92.873,-84.389,-84.366,-87.975,-87.675,-87.327,-93.430,-89.628,-89.634,-91.970,-87.332,-87.836,-92.541,-85.728,-85.595
257.887,-31.174,-86.426,-88.041,-91.215,-90.434,-88.061,-87.694,-87.999,-86.140,-86.150,-86.567,-85.183,-84.745,-92.172,-88.373,-96.755,-93.978,-89.443,-88.963,-85.514,-87.250,-90.588,-89.721,-89.440,-84.509,-89.820,-90.230,-91.055,-84.213,-85.057,-84.982,-87.229,-93.217,-96.998,-90.823,-90.824,-95.585,-93.990,-92.830,-88.420,-88.192,-91.482,-89.122,-89.278,-88.887,-93.563,-91.361,-88.066,-85.461,-93.792,-93.543,-86.376,-86.435,-87.213,-86.416,-88.610,-91.717,-91.488,-88.237,-89.843,-88.627,-86.398,-88.355,-91.328,-90.561,-85.922,-92.250,-89.046,-86.868,-88.507,-90.988,-90.884,-90.272,-83.145,-84.933,-89.803,-94.915,-91.421,-89.831,-90.056,-87.180,-90.378,-95.976,-91.730,-87.609,-84.554,-85.812,-84.481,-90.525,-87.118,-87.964,-89.429,-87.696,-90.263,-88.218,-89.460,-88.828,-90.137,-89.964,-90.107,-90.612,-90.612
275.393,-31.174,-90.068,-82.701,-83.441,-91.692,-94.628,-91.025,-87.827,-84.732,-87.386,-89.228,-90.745,-86.015,-84.996,-89.524,-88.135,-89.673,-88.970,-88.044,-88.262,-89.458,-88.514,-88.031,-87.418,-90.393,-91.050,-87.353,-87.346,-87.258,-88.364,-89.905,-97.573,-89.998,-87.482,-88.556,-89.037,-89.934,-90.373,-83.740,-89.980,-83.882,-84.628,-86.976,-88.304,-88.552,-90.545,-99.632,-87.653,-86.460,-89.483,-87.863,-85.226,-91.927,-87.928,-93.273,-90.806,-87.219,-90.980,-93.257,-88.839,-88.579,-88.532,-86.304,-87.625,-88.449,-85.443,-85.275,-89.103,-87.388,-89.803,-89.639,-91.157,-84.279,-86.167,-87.366,-85.268,-85.512,-86.182,-88.666,-89.159,-87.231,-88.900,-87.031,-87.382,-85.926,-87.197,-88.935,-92.284,-91.222,-89.536,-87.208,-88.537,-89.943,-89.815,-92.928,-86.492,-92.118,-88.276,-89.990,-92.294,-87.714,-90.839
292.899,-31.174,-90.246,-88.378,-90.067,-91.559,-89.861,-88.475,-88.931,-86.495,-90.768,-86.856,-87.310,-87.642,-92.241,-87.546,-87.703,-87.645,-85.863,-85.035,-88.942,-90.634,-91.179,-87.680,-88.478,-94.855,-90.135,-83.664,-83.671,-88.037,-83.015,-82.125,-92.250,-92.705,-91.366,-85.856,-87.644,-88.888,-87.070,-86.369,-83.563,-89.748,-91.679,-92.029,-87.688,-89.890,-88.879,-88.847,-88.037,-89.763,-100.260,-88.518,-86.726,-86.658,-88.798,-88.352,-87.383,-87.753,-89.403,-93.299,-93.300,-88.135,-90.901,-92.701,-87.254,-91.446,-91.617,-87.749,-88.352,-84.102,-84.690,-88.937,-84.594,-86.291,-93.401,-92.645,-85.866,-89.103,-85.803,-85.990,-88.356,-89.630,-89.034,-93.052,-95.107,-88.103,-88.216,-88.949,-88.914,-85.579,-84.887,-86.673,-86.712,-89.688,-87.620,-88.077,-91.582,-86.071,-88.070,-93.048,-95.317,-93.711,-92.381
310.405,-31.174,-90.196,-88.871,-87.852,-93.907,-86.366,-91.257,-84.789,-93.613,-91.557,-95.986,-85.991,-84.804,-86.471,-91.397,-93.535,-89.333,-89.209,-88.257,-90.382,-90.683,-90.564,-91.909,-92.247,-89.283,-84.113,-91.386,-91.890,-85.163,-85.547,-88.098,-89.944,-90.656,-90.035,-93.657,-89.626,-87.593,-93.537,-93.988,-94.862,-87.640,-89.224,-89.542,-90.318,-86.663,-87.693,-89.723,-90.645,-87.095,-86.783,-86.820,-84.783,-86.057,-86.266,-85.530,-95.600,-86.388,-88.450,-90.864,-89.193,-90.630,-88.720,-87.051,-84.730,-91.108,-89.834,-88.028,-85.488,-91.047,-85.079,-91.463,-89.311,-91.909,-91.742,-87.329,-88.932,-88.802,-89.860,-84.547,-84.846,-84.389,-85.563,-89.573,-92.236,-88.516,-87.554,-92.170,-85.109,-86.716,-87.176,-89.649,-90.238,-90.605,-91.889,-91.368,-90.242,-90.856,-92.958,-90.082,-89.584,-89.261,-88.176
327.911,-31.174,-90.507,-87.232,-89.073,-88.440,-92.574,-95.644,-90.249,-90.057,-89.358,-87.606,-87.391,-93.640,-89.046,-91.214,-87.548,-87.742,-91.101,-90.405,-86.455,-86.116,-85.853,-90.081,-88.632,-87.788,-92.677,-91.025,-90.339,-89.187,-85.403,-89.294,-91.222,-86.500,-86.317,-85.507,-85.627,-87.285,-87.055,-88.364,-88.805,-88.758,-88.180,-89.488,-93.182,-90.621,-92.439,-89.191,-89.201,-87.196,-88.179,-90.487,-86.367,-86.754,-85.251,-91.699,-89.164,-89.501,-87.691,-89.834,-91.063,-87.118,-85.881,-88.523,-90.612,-92.537,-92.740,-86.537,-86.507,-89.284,-88.874,-85.796,-86.977,-86.710,-90.230,-91.951,-91.504,-88.837,-91.341,-85.459,-87.932,-87.229,-91.836,-88.706,-90.681,-93.502,-95.997,-87.725,-89.082,-88.762,-87.155,-88.715,-89.761,-95.831,-88.956,-89.174,-91.356,-89.306,-89.105,-88.800,-87.412,-86.990,-87.761
257.887,-27.990,-83.405,-84.632,-91.342,-87.169,-85.929,-86.287,-86.098,-87.612,-86.809,-86.777,-91.645,-87.961,-86.151,-91.032,-90.182,-84.941,-90.447,-88.638,-89.072,-87.031,-85.353,-84.515,-87.516,-91.640,-90.811,-87.939,-87.652,-88.386,-89.576,-86.532,-87.299,-91.172,-86.138,-97.602,-91.564,-91.109,-87.993,-88.784,-96.168,-91.412,-89.388,-90.856,-86.645,-89.700,-87.507,-88.900,-90.640,-91.264,-87.355,-87.932,-87.598,-89.680,-91.251,-86.131,-88.801,-91.901,-87.564,-88.233,-91.352,-89.598,-90.007,-87.983,-85.068,-85.904,-85.892,-86.125,-84.956,-88.432,-86.196,-89.464,-91.553,-90.364,-86.770,-86.450,-88.555,-85.058,-87.211,-91.513,-85.061,-89.694,-93.707,-85.205,-88.402,-88.714,-87.033,-90.315,-87.256,-95.018,-89.913,-92.267,-88.073,-88.981,-89.850,-89.784,-87.058,-86.783,-89.357,-87.938,-91.038,-89.844,-91.047
275.393,-27.990,-88.448,-87.939,-93.838,-88.068,-89.621,-89.980,-88.378,-85.992,-85.264,-89.410,-89.872,-89.394,-91.330,-94.201,-91.719,-89.471,-90.125,-89.314,-91.205,-92.185,-87.573,-88.401,-89.312,-87.501,-88.812,-88.150,-88.201,-86.058,-88.711,-90.480,-89.602,-89.991,-87.366,-89.408,-93.422,-90.111,-91.552,-89.996,-88.149,-87.416,-85.392,-92.782,-94.432,-87.992,-88.943,-92.192,-95.413,-89.272,-87.535,-92.453,-95.400,-91.660,-91.610,-84.876,-92.860,-88.062,-88.211,-85.943,-85.730,-88.339,-90.412,-91.952,-92.097,-88.405,-86.630,-83.760,-95.539,-90.334,-86.866,-85.727,-86.704,-84.777,-89.583,-91.778,-89.053,-92.595,-91.754,-88.566,-88.415,-94.230,-91.503,-91.473,-89.356,-90.269,-88.557,-88.867,-89.728,-85.769,-85.718,-89.845,-87.822,-88.422,-88.413,-90.956,-83.532,-88.671,-88.058,-85.365,-86.314,-92.415,-88.703
