PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
311.352,-51.469,-88.365,-85.403,-88.362,-88.424,-85.547,-85.558,-89.855,-91.062,-89.511,-88.022,-88.028,-91.898,-86.949,-88.374,-87.779,-92.275,-91.793,-91.862,-92.429,-90.950,-92.942,-91.575,-89.570,-88.232,-90.612,-86.525,-88.677,-88.336,-86.739,-84.801,-84.882,-86.357,-89.516,-90.513,-88.391,-88.079,-90.588,-88.793,-86.458,-95.046,-86.139,-87.468,-91.396,-96.408,-87.427,-88.491,-88.920,-93.636,-90.200,-88.146,-86.958,-91.859,-88.604,-88.641,-87.791,-88.604,-91.973,-90.490,-91.875,-91.676,-90.528,-88.368,-88.818,-88.066,-91.482,-92.708,-87.381,-87.213,-92.689,-91.715,-91.493,-86.688,-93.313,-94.455,-90.701,-86.471,-86.252,-87.249,-85.843,-87.474,-90.329,-90.432,-88.046,-88.903,-93.413,-89.640,-86.539,-87.040,-99.386,-96.315,-92.076,-90.808,-85.786,-90.834,-91.197,-91.506,-89.918,-87.961,-90.740,-89.213,-87.166
316.258,-51.469,-87.216,-88.194,-86.484,-84.728,-86.491,-86.986,-93.354,-91.993,-85.266,-85.262,-86.602,-85.593,-90.196,-89.596,-87.827,-89.990,-90.442,-91.662,-89.474,-87.690,-88.135,-88.176,-92.239,-90.100,-94.849,-85.833,-86.249,-91.692,-85.881,-86.459,-88.867,-84.555,-91.173,-89.600,-89.860,-90.458,-90.254,-86.484,-87.007,-89.905,-91.743,-87.741,-89.008,-89.687,-87.849,-87.696,-88.977,-86.412,-90.631,-89.558,-85.249,-86.090,-91.833,-87.598,-87.646,-89.790,-88.738,-91.470,-88.871,-88.567,-85.406,-86.910,-92.081,-88.109,-87.973,-94.828,-90.493,-87.166,-85.945,-85.567,-89.763,-90.653,-89.199,-87.504,-89.963,-84.928,-90.740,-90.333,-89.694,-90.614,-91.987,-89.280,-88.251,-90.337,-92.572,-89.211,-94.145,-87.868,-88.190,-89.860,-91.988,-85.875,-85.189,-89.585,-86.259,-86.422,-89.671,-86.666,-87.101,-89.387,-86.925
321.165,-51.469,-89.703,-90.534,-90.099,-89.639,-87.721,-88.118,-90.740,-92.180,-84.850,-83.604,-90.080,-87.405,-89.071,-89.635,-88.970,-91.405,-85.987,-89.791,-90.519,-91.331,-83.023,-82.069,-86.084,-92.697,-87.727,-86.048,-86.092,-87.255,-89.279,-86.677,-86.298,-85.283,-87.631,-90.167,-90.476,-83.728,-84.325,-85.883,-91.233,-91.095,-88.047,-85.735,-88.672,-86.055,-91.796,-92.304,-93.243,-85.030,-84.878,-89.216,-93.554,-89.656,-86.491,-93.761,-83.770,-89.006,-92.417,-91.636,-87.646,-85.488,-88.550,-88.826,-89.412,-88.945,-90.573,-91.354,-91.678,-90.516,-90.510,-89.884,-87.929,-87.077,-88.543,-89.334,-85.950,-90.523,-84.143,-83.913,-87.122,-83.769,-86.855,-87.465,-89.506,-87.790,-87.876,-89.885,-90.707,-86.604,-87.876,-90.251,-87.881,-93.589,-92.939,-88.884,-92.819,-91.892,-91.667,-87.091,-91.527,-87.882,-89.011
326.071,-51.469,-90.409,-88.936,-91.553,-90.527,-90.531,-91.383,-90.829,-89.781,-91.959,-91.033,-88.284,-86.435,-85.278,-87.851,-86.325,-85.119,-87.216,-88.347,-86.599,-85.061,-93.115,-90.631,-90.725,-89.213,-85.978,-87.356,-91.171,-92.829,-86.232,-86.314,-88.135,-89.983,-85.167,-91.156,-89.009,-91.699,-87.865,-87.829,-90.875,-87.072,-86.680,-90.650,-87.385,-86.625,-85.561,-90.850,-89.465,-88.671,-86.446,-96.688,-86.859,-86.215,-85.212,-85.159,-87.756,-88.812,-87.362,-89.317,-89.298,-87.081,-94.834,-88.822,-89.297,-92.802,-88.438,-87.685,-93.045,-94.706,-88.396,-83.049,-87.078,-89.242,-89.576,-87.608,-89.017,-88.263,-85.668,-86.864,-87.075,-90.805,-86.774,-85.746,-87.763,-86.229,-91.911,-90.583,-90.446,-92.183,-90.716,-92.582,-88.080,-84.544,-89.730,-84.700,-86.119,-89.483,-82.766,-85.604,-89.855,-89.652,-89.622
330.977,-51.469,-91.258,-85.854,-86.390,-88.648,-95.382,-89.288,-90.863,-85.112,-86.193,-89.294,-92.038,-87.354,-95.935,-87.299,-90.208,-84.923,-91.524,-91.219,-87.782,-90.255,-92.124,-87.850,-88.586,-90.297,-88.648,-87.105,-86.497,-89.435,-87.157,-87.045,-93.352,-87.556,-87.558,-88.078,-86.666,-91.826,-90.860,-86.811,-86.847,-89.496,-88.325,-90.848,-91.322,-89.027,-89.066,-92.628,-92.210,-86.979,-89.155,-88.099,-90.410,-88.825,-91.699,-86.618,-83.906,-89.260,-89.090,-97.776,-88.332,-90.200,-87.997,-91.709,-94.011,-89.964,-88.783,-97.251,-87.795,-88.545,-92.612,-89.861,-91.931,-91.700,-91.243,-87.381,-94.690,-92.357,-88.020,-85.993,-93.473,-91.079,-91.058,-87.422,-87.422,-89.423,-88.975,-89.385,-86.286,-86.896,-85.512,-85.771,-87.154,-87.986,-86.799,-86.804,-86.611,-92.065,-90.890,-89.803,-87.248,-87.591,-87.205
311.352,-48.212,-88.465,-91.062,-86.272,-87.844,-89.471,-88.616,-88.229,-88.068,-88.313,-87.988,-87.715,-87.533,-83.992,-84.890,-87.625,-90.386,-89.351,-88.400,-83.201,-83.188,-88.013,-86.816,-94.667,-87.039,-94.429,-92.859,-83.530,-86.875,-85.908,-90.046,-88.030,-85.935,-89.669,-87.372,-87.513,-92.355,-94.785,-84.605,-84.715,-90.568,-90.990,-90.910,-84.767,-87.150,-87.632,-87.195,-88.776,-90.996,-92.480,-86.739,-86.616,-86.915,-89.951,-88.426,-95.611,-89.311,-88.941,-87.420,-87.850,-87.699,-87.064,-88.317,-89.433,-88.770,-85.944,-90.289,-89.142,-93.338,-86.599,-92.387,-86.973,-90.295,-89.448,-87.215,-84.952,-88.333,-89.986,-85.751,-89.147,-86.246,-90.483,-87.083,-94.643,-87.052,-86.656,-86.922,-89.539,-93.282,-87.893,-94.309,-89.591,-84.205,-88.995,-94.058,-87.871,-87.764,-89.688,-95.426,-94.658,-91.118,-92.729
316.258,-48.212,-85.115,-92.247,-87.491,-94.983,-89.120,-87.988,-85.322,-94.287,-91.990,-89.897,-88.155,-88.945,-89.061,-86.124,-85.369,-91.806,-86.410,-88.813,-89.394,-88.802,-88.203,-86.145,-91.894,-87.405,-89.345,-88.725,-88.592,-85.956,-87.124,-87.559,-87.123,-87.149,-88.492,-85.642,-91.588,-95.372,-87.339,-91.508,-90.669,-90.274,-93.205,-88.734,-87.052,-92.513,-89.631,-92.904,-95.023,-84.855,-85.110,-87.042,-89.138,-89.895,-90.733,-92.481,-93.055,-87.889,-86.111,-86.240,-86.685,-86.990,-86.159,-86.149,-88.751,-89.523,-88.915,-89.576,-89.209,-86.398,-88.402,-87.605,-89.869,-86.314,-88.028,-88.493,-88.062,-92.644,-86.567,-86.618,-87.363,-85.400,-84.350,-91.242,-92.212,-89.078,-92.559,-90.029,-84.235,-83.662,-85.840,-90.529,-88.425,-87.545,-88.476,-88.481,-90.805,-89.872,-85.022,-87.978,-86.974,-86.250,-89.799
321.165,-48.212,-90.411,-89.950,-86.399,-89.434,-89.078,-87.229,-90.681,-91.256,-91.465,-90.412,-89.507,-87.478,-88.801,-86.566,-86.801,-87.403,-89.561,-91.180,-88.581,-88.948,-91.103,-90.177,-85.186,-86.527,-88.021,-91.843,-87.869,-88.925,-90.666,-89.916,-92.584,-87.491,-88.345,-89.116,-98.702,-88.123,-85.588,-84.521,-84.515,-92.569,-86.238,-86.347,-87.550,-87.912,-87.956,-89.916,-88.222,-91.518,-92.030,-91.180,-89.842,-89.024,-93.052,-93.378,-89.854,-91.034,-87.573,-87.034,-87.049,-88.957,-87.533,-88.653,-89.450,-86.550,-87.932,-89.740,-89.917,-89.280,-89.506,-89.740,-88.871,-86.399,-88.134,-88.135,-86.355,-89.231,-92.540,-93.297,-86.241,-90.405,-85.755,-86.377,-93.117,-86.059,-86.016,-89.066,-90.699,-88.624,-88.630,-88.380,-83.513,-84.291,-89.105,-91.229,-87.054,-87.078,-92.664,-89.743,-93.053,-94.001,-95.243
326.071,-48.212,-90.316,-92.140,-89.568,-92.100,-91.954,-91.861,-87.681,-86.471,-87.934,-89.425,-88.590,-91.619,-86.608,-86.207,-91.830,-87.756,-88.452,-88.154,-86.322,-91.897,-91.721,-91.244,-86.576,-84.866,-84.786,-86.447,-87.219,-90.629,-91.039,-88.795,-86.386,-87.400,-86.612,-85.937,-92.192,-89.230,-91.635,-92.276,-88.916,-89.058,-86.115,-86.916,-86.727,-86.703,-92.748,-88.310,-95.157,-91.023,-88.115,-87.529,-89.139,-85.936,-88.399,-88.493,-88.311,-87.338,-87.159,-89.151,-90.106,-89.339,-84.776,-85.987,-90.470,-90.772,-88.618,-87.982,-90.881,-90.644,-87.297,-91.163,-87.849,-85.587,-86.652,-83.618,-87.180,-85.722,-85.711,-84.961,-91.283,-91.099,-88.274,-88.279,-84.973,-88.249,-88.979,-91.905,-84.769,-84.830,-87.272,-88.712,-87.729,-88.052,-93.352,-87.184,-88.673,-86.117,-86.538,-92.535,-87.883,-89.070,-88.773
330.977,-48.212,-87.743,-91.667,-92.306,-91.607,-89.649,-91.214,-94.801,-91.549,-91.443,-86.100,-85.401,-84.932,-88.931,-91.204,-87.227,-86.439,-83.908,-85.906,-89.365,-95.456,-89.200,-87.880,-87.697,-89.265,-87.049,-87.706,-87.765,-88.127,-88.413,-87.444,-90.742,-87.977,-90.450,-93.118,-86.758,-87.962,-86.321,-94.949,-92.274,-87.358,-86.963,-92.695,-87.042,-89.647,-91.058,-88.410,-88.139,-85.451,-89.258,-88.193,-86.975,-87.623,-87.908,-91.307,-92.754,-92.016,-85.695,-91.452,-86.259,-85.904,-85.858,-91.078,-91.212,-91.853,-85.068,-86.892,-90.122,-91.815,-90.145,-90.252,-88.934,-87.725,-90.277,-89.031,-88.130,-86.602,-87.690,-90.677,-89.709,-89.804,-86.757,-89.388,-87.703,-84.248,-92.329,-93.962,-90.349,-85.270,-84.454,-90.543,-91.609,-86.963,-85.803,-85.954,-90.685,-88.226,-92.163,-88.691,-86.961,-88.786,-90.066
311.352,-44.956,-88.471,-94.161,-85.244,-85.377,-83.822,-87.381,-88.108,-88.042,-84.493,-84.783,-84.783,-86.023,-90.942,-91.667,-91.018,-86.273,-92.295,-87.085,-87.712,-89.518,-92.096,-85.712,-86.331,-95.772,-94.955,-89.200,-89.169,-89.024,-86.901,-87.050,-88.363,-91.278,-88.700,-90.296,-86.713,-86.550,-89.752,-88.159,-93.286,-89.524,-87.679,-89.923,-89.533,-89.892,-87.425,-86.464,-87.498,-86.679,-86.246,-86.845,-86.130,-85.859,-93.553,-90.148,-87.100,-98.676,-90.993,-89.269,-88.661,-86.116,-86.775,-89.165,-88.845,-92.584,-88.255,-89.785,-89.927,-89.995,-83.913,-84.184,-90.163,-92.606,-93.180,-89.826,-88.428,-94.724,-94.269,-90.681,-87.750,-89.084,-94.899,-89.804,-89.724,-88.187,-86.174,-86.360,-90.861,-90.893,-92.064,-89.084,-92.992,-91.225,-90.201,-88.263,-88.371,-90.223,-89.084,-90.250,-88.360,-87.290,-87.628
316.258,-44.956,-92.429,-94.249,-92.707,-90.803,-90.649,-91.562,-88.861,-86.122,-86.488,-94.879,-89.596,-86.652,-97.089,-86.694,-87.759,-93.169,-89.947,-89.242,-87.118,-87.763,-84.972,-93.361,-87.878,-87.257,-88.051,-91.111,-88.802,-87.948,-97.220,-89.352,-91.590,-92.736,-92.772,-92.383,-87.385,-88.652,-88.831,-89.045,-91.899,-93.448,-87.244,-87.537,-88.766,-90.267,-88.737,-89.695,-91.341,-92.130,-88.330,-87.380,-87.669,-90.172,-88.187,-85.589,-86.221,-87.576,-87.625,-90.919,-92.078,-88.043,-87.528,-87.542,-89.730,-89.479,-93.946,-90.703,-89.896,-89.883,-89.633,-82.788,-88.352,-87.323,-91.331,-88.300,-85.098,-91.350,-89.713,-83.589,-83.929,-85.662,-85.593,-91.890,-90.640,-87.850,-86.503,-86.153,-85.501,-87.578,-90.170,-84.037,-88.821,-88.506,-92.963,-86.719,-85.922,-87.666,-90.503,-90.245,-86.122,-86.138,-92.754
321.165,-44.956,-84.515,-94.089,-90.314,-89.946,-86.848,-90.483,-92.201,-90.686,-92.243,-87.177,-92.639,-92.042,-89.063,-88.260,-89.228,-85.786,-84.242,-90.200,-89.346,-91.816,-85.409,-87.575,-86.554,-89.687,-91.738,-89.922,-88.943,-89.974,-87.371,-86.802,-85.584,-89.465,-91.387,-89.905,-92.435,-87.564,-89.465,-92.322,-95.238,-89.034,-88.701,-87.854,-87.712,-87.514,-87.542,-88.595,-89.517,-84.971,-89.442,-84.842,-86.059,-85.610,-85.197,-88.110,-92.111,-91.105,-86.729,-86.934,-85.823,-85.950,-89.533,-86.151,-84.133,-92.747,-90.382,-90.000,-90.422,-88.418,-87.400,-90.361,-86.379,-94.071,-83.595,-88.979,-89.100,-89.032,-93.301,-89.965,-88.763,-88.057,-88.666,-87.129,-89.746,-90.725,-89.083,-88.902,-86.908,-93.879,-91.092,-89.778,-89.955,-86.352,-89.200,-86.285,-90.058,-94.117,-92.163,-85.947,-89.198,-92.365,-86.353
326.071,-44.956,-90.849,-87.696,-87.201,-87.637,-91.067,-94.337,-91.260,-91.160,-87.450,-89.254,-91.646,-91.647,-87.019,-86.521,-86.554,-90.379,-88.179,-89.565,-89.952,-93.453,-89.098,-90.087,-86.435,-90.137,-95.401,-85.421,-87.199,-89.532,-86.982,-89.468,-89.786,-90.221,-86.869,-89.848,-88.250,-90.467,-89.439,-87.959,-87.360,-89.534,-88.279,-88.391,-89.912,-89.747,-88.868,-90.172,-89.636,-84.228,-89.621,-87.981,-87.976,-95.867,-89.182,-89.017,-86.904,-86.956,-93.673,-89.604,-87.337,-84.047,-87.528,-91.165,-90.573,-88.858,-82.922,-92.245,-88.009,-90.007,-85.815,-84.100,-86.298,-92.540,-87.290,-83.582,-89.353,-90.500,-87.539,-95.089,-87.410,-85.853,-84.329,-87.505,-90.824,-88.669,-89.475,-91.098,-90.253,-95.110,-86.779,-90.321,-90.244,-93.896,-92.289,-81.954,-84.265,-90.796,-91.171,-87.604,-86.896,-89.225,-91.786
330.977,-44.956,-87.826,-88.715,-94.940,-94.689,-86.817,-87.301,-89.842,-89.842,-90.886,-90.904,-89.205,-91.015,-88.647,-88.807,-87.141,-90.479,-90.514,-89.985,-85.692,-88.771,-84.340,-86.092,-85.104,-86.715,-85.697,-91.798,-92.791,-90.452,-92.147,-87.299,-88.214,-88.549,-89.448,-87.543,-87.616,-88.124,-84.913,-85.578,-88.552,-91.173,-86.459,-87.443,-89.174,-90.077,-87.461,-86.302,-88.655,-89.232,-86.318,-90.210,-87.608,-88.215,-92.917,-87.619,-93.818,-92.570,-92.035,-90.903,-93.089,-87.565,-89.885,-88.054,-89.244,-89.052,-87.158,-88.578,-92.238,-89.939,-87.873,-90.641,-90.027,-91.020,-87.888,-90.189,-92.122,-85.882,-86.729,-87.420,-83.876,-85.368,-85.575,-88.535,-89.400,-86.617,-88.601,-92.746,-92.701,-86.229,-86.390,-87.860,-88.228,-87.873,-93.402,-93.353,-90.244,-85.962,-86.363,-83.960,-89.139,-87.727,-93.287
