PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
127.241,87.065,-98.515,-101.489,-100.456,-102.343,-98.863,-100.209,-101.575,-101.651,-102.054,-101.625,-103.584,-98.809,-99.159,-99.916,-101.772,-100.346,-101.159,-102.346,-101.760,-99.448,-102.717,-100.905,-101.274,-100.867,-100.240,-102.511,-101.592,-102.383,-99.992,-100.234,-100.226,-100.464,-102.897,-102.411,-100.010,-100.605,-101.140,-98.928,-103.166,-99.554,-101.039,-98.954,-101.653,-100.769,-99.735,-100.486,-101.751,-100.988,-100.959,-101.414,-100.300,-99.446,-101.811,-97.271,-96.065,-100.685,-100.656,-98.533,-100.189,-98.148,-99.824,-97.600,-100.924,-98.177,-101.978,-101.004,-101.057,-97.822,-101.399,-100.116,-97.603,-102.306,-97.333,-97.838,-98.985,-101.803,-101.561,-102.321,-101.708,-97.156,-102.477,-99.397,-102.452,-97.909,-99.967,-97.195,-100.682,-102.870,-102.613,-98.689,-99.899,-101.109,-96.466,-101.546,-97.959,-101.245,-100.619,-99.178,-101.758,-102.520,-88.763
173.780,87.065,-97.548,-101.631,-101.743,-102.394,-101.831,-102.420,-100.559,-100.847,-100.282,-101.824,-101.080,-100.629,-100.108,-102.453,-99.607,-102.903,-100.301,-101.389,-100.967,-101.111,-101.826,-102.023,-101.756,-100.828,-102.076,-99.941,-101.691,-100.653,-98.710,-100.087,-103.070,-97.928,-102.081,-99.267,-101.826,-98.769,-100.376,-97.933,-103.153,-96.334,-97.284,-100.920,-99.509,-102.436,-100.497,-99.583,-100.757,-101.099,-100.103,-102.656,-98.938,-99.540,-99.349,-95.781,-92.642,-99.976,-99.538,-100.495,-99.637,-99.825,-100.307,-97.360,-101.999,-97.571,-97.261,-102.840,-102.105,-100.190,-99.433,-101.610,-100.613,-102.861,-97.265,-100.996,-100.164,-96.761,-102.317,-102.076,-103.084,-97.123,-101.070,-100.257,-101.267,-99.861,-100.727,-99.514,-100.570,-100.878,-101.061,-101.557,-98.853,-100.478,-100.757,-101.411,-99.863,-99.379,-101.150,-98.319,-100.699,-101.423,-86.724
220.319,87.065,-97.262,-102.075,-103.446,-99.579,-100.588,-101.044,-101.872,-101.938,-99.749,-99.843,-101.870,-100.055,-100.613,-101.253,-99.950,-100.509,-101.804,-101.116,-102.169,-100.766,-101.522,-100.746,-101.360,-99.482,-99.090,-101.192,-101.542,-101.119,-97.545,-98.762,-102.045,-97.644,-102.555,-102.487,-99.636,-97.742,-99.938,-98.321,-102.602,-98.891,-97.097,-100.797,-101.603,-103.112,-101.058,-97.649,-101.525,-100.552,-96.673,-101.669,-97.957,-101.209,-99.250,-93.797,-96.478,-100.201,-101.297,-97.706,-100.674,-100.320,-100.471,-100.634,-96.355,-99.506,-98.191,-102.041,-100.685,-99.517,-99.053,-99.227,-100.865,-100.123,-98.902,-101.057,-102.507,-98.885,-99.974,-102.190,-100.048,-98.101,-101.337,-97.631,-102.977,-99.883,-98.706,-97.374,-100.203,-97.310,-100.268,-98.380,-100.375,-100.229,-99.600,-102.598,-97.383,-100.978,-100.627,-101.095,-99.420,-102.427,-89.481
266.858,87.065,-98.552,-102.158,-102.550,-101.446,-98.357,-100.407,-102.104,-100.585,-100.086,-101.913,-102.620,-100.543,-99.590,-102.503,-102.504,-98.579,-103.027,-101.534,-100.086,-100.376,-100.603,-101.055,-102.769,-87.392,-98.328,-102.677,-98.937,-101.973,-98.427,-99.398,-101.076,-99.410,-102.179,-101.646,-103.203,-101.478,-101.821,-98.653,-102.753,-100.174,-98.975,-101.042,-100.736,-104.082,-101.527,-102.343,-99.100,-102.119,-97.549,-101.312,-98.060,-100.679,-99.828,-92.660,-93.406,-100.395,-101.650,-98.831,-97.988,-97.264,-101.493,-98.843,-99.809,-98.758,-101.161,-101.919,-100.707,-99.577,-99.595,-101.282,-98.972,-102.278,-99.391,-99.775,-101.166,-102.248,-100.758,-101.854,-101.165,-98.936,-101.743,-99.780,-101.932,-99.044,-101.355,-101.126,-101.405,-98.014,-98.647,-102.065,-99.265,-101.117,-98.517,-101.679,-101.738,-99.541,-100.801,-100.603,-102.026,-103.109,-89.006
313.397,87.065,-98.710,-101.781,-99.691,-102.669,-98.819,-101.830,-101.949,-100.352,-100.914,-98.812,-100.579,-100.347,-101.677,-101.607,-99.935,-101.174,-100.558,-101.953,-100.975,-100.949,-102.655,-100.108,-100.110,-101.507,-102.344,-102.660,-99.388,-102.249,-97.367,-101.222,-100.115,-101.355,-99.798,-99.950,-100.563,-100.689,-100.632,-99.703,-101.889,-100.436,-100.193,-101.081,-100.392,-103.039,-101.859,-98.021,-102.817,-101.977,-96.901,-101.996,-101.143,-100.350,-101.748,-94.454,-92.711,-101.092,-100.564,-100.493,-98.659,-96.449,-102.718,-99.120,-100.023,-96.967,-97.826,-101.732,-101.520,-102.363,-96.856,-100.545,-99.656,-100.569,-97.156,-101.676,-100.868,-96.748,-99.650,-100.824,-102.602,-100.454,-100.744,-100.780,-102.978,-98.398,-98.870,-99.033,-101.861,-100.423,-101.595,-99.699,-102.130,-102.246,-97.673,-101.423,-99.522,-102.096,-101.478,-100.383,-102.072,-102.138,-87.393
127.241,100.968,-101.099,-99.191,-100.792,-98.652,-100.462,-101.426,-102.707,-103.176,-98.196,-101.590,-100.177,-97.203,-101.338,-102.599,-101.040,-98.211,-102.096,-101.803,-101.774,-99.398,-98.742,-101.508,-100.764,-84.872,-99.655,-101.899,-99.693,-101.029,-99.560,-101.607,-100.673,-101.215,-100.260,-100.943,-102.584,-99.323,-99.461,-100.762,-100.540,-98.192,-98.943,-100.081,-99.855,-100.892,-100.478,-98.374,-101.119,-101.246,-97.890,-101.776,-95.894,-99.744,-98.526,-95.667,-92.766,-100.546,-101.976,-100.378,-98.142,-102.266,-101.912,-101.865,-101.716,-97.935,-98.704,-103.476,-101.715,-99.177,-96.724,-102.715,-101.235,-103.202,-94.374,-100.840,-98.029,-99.445,-102.963,-100.563,-100.808,-99.743,-102.120,-100.175,-101.262,-99.633,-99.266,-99.252,-101.408,-98.423,-100.266,-100.252,-101.582,-102.032,-99.737,-101.182,-96.296,-102.286,-100.893,-100.654,-102.440,-103.156,-89.085
173.780,100.968,-102.204,-102.420,-101.613,-100.643,-97.798,-101.325,-101.429,-102.224,-99.599,-101.840,-101.315,-100.529,-103.213,-98.667,-101.850,-99.628,-101.392,-102.736,-100.636,-100.884,-100.864,-86.560,-102.906,-100.361,-101.525,-100.408,-102.079,-100.823,-101.557,-101.446,-101.125,-99.374,-101.077,-100.623,-102.431,-99.869,-101.116,-100.786,-102.607,-99.878,-97.382,-100.561,-102.069,-100.441,-102.129,-100.079,-99.476,-100.949,-100.400,-102.781,-96.443,-101.992,-98.087,-98.005,-92.315,-102.850,-99.545,-97.585,-97.226,-100.601,-102.029,-101.406,-101.008,-102.006,-101.836,-100.662,-103.022,-101.772,-99.739,-101.999,-98.501,-102.124,-98.219,-101.391,-102.030,-100.332,-99.533,-101.691,-101.607,-97.700,-100.241,-99.346,-100.983,-101.082,-100.949,-100.402,-101.531,-99.396,-101.561,-100.239,-98.700,-100.679,-100.278,-101.299,-97.785,-101.626,-101.698,-100.214,-101.419,-102.522,-87.995
220.319,100.968,-101.701,-100.930,-101.226,-101.375,-99.101,-100.827,-100.718,-101.321,-97.786,-100.771,-102.267,-101.255,-101.659,-101.178,-100.462,-100.611,-101.139,-101.334,-101.184,-101.114,-101.759,-102.502,-101.147,-100.625,-98.570,-99.180,-99.660,-100.518,-99.440,-98.834,-100.579,-99.737,-100.843,-100.188,-102.088,-101.763,-102.602,-99.028,-100.709,-99.613,-100.722,-98.186,-102.169,-102.124,-102.246,-100.218,-99.472,-99.961,-98.253,-103.687,-100.239,-101.763,-98.703,-93.490,-93.689,-101.801,-102.023,-100.619,-100.304,-98.548,-100.300,-100.844,-100.225,-98.685,-98.026,-101.621,-102.975,-99.849,-98.011,-101.096,-101.058,-101.657,-96.584,-99.484,-102.735,-100.082,-101.939,-101.306,-100.873,-97.358,-100.779,-100.878,-102.679,-98.245,-101.110,-99.556,-100.139,-99.455,-101.409,-97.863,-100.953,-100.298,-98.348,-101.364,-94.710,-102.066,-101.034,-100.705,-99.529,-101.859,-90.601
266.858,100.968,-100.365,-101.814,-100.704,-101.083,-101.394,-101.646,-100.552,-101.689,-98.956,-101.759,-102.464,-101.442,-100.960,-102.675,-102.401,-102.621,-100.200,-102.076,-100.979,-97.633,-101.906,-101.477,-100.014,-101.075,-101.446,-102.103,-97.875,-102.386,-101.389,-102.092,-99.593,-98.371,-100.581,-100.214,-102.099,-100.049,-100.703,-99.750,-102.258,-99.666,-96.297,-100.962,-99.665,-102.133,-99.242,-101.875,-103.168,-100.160,-97.156,-101.979,-96.744,-103.492,-101.636,-96.508,-93.268,-100.548,-99.390,-100.557,-99.695,-99.898,-101.163,-101.993,-102.262,-99.265,-100.337,-100.975,-103.414,-101.081,-97.582,-99.057,-100.613,-100.327,-97.546,-101.770,-101.470,-100.052,-103.015,-101.695,-101.291,-99.024,-99.564,-101.431,-101.871,-102.385,-100.748,-101.816,-101.926,-99.725,-102.612,-98.963,-98.808,-102.201,-100.674,-103.128,-100.574,-98.120,-99.581,-99.934,-98.395,-100.756,-93.601
313.397,100.968,-101.493,-102.391,-101.627,-100.654,-101.185,-100.092,-102.013,-100.868,-98.422,-99.736,-101.218,-102.604,-102.921,-100.479,-101.905,-101.385,-100.703,-100.393,-102.992,-100.803,-101.414,-102.265,-101.020,-100.470,-101.188,-100.963,-99.444,-101.387,-98.922,-100.121,-102.483,-100.474,-100.415,-100.687,-98.696,-98.916,-101.995,-96.089,-102.028,-100.337,-99.191,-101.758,-98.912,-101.821,-101.227,-97.520,-101.390,-99.084,-99.280,-102.871,-96.217,-99.969,-99.341,-94.249,-91.259,-99.893,-100.122,-98.679,-102.092,-101.059,-102.335,-97.334,-99.591,-99.043,-100.672,-101.597,-101.702,-99.372,-100.920,-102.147,-101.480,-100.342,-97.485,-100.505,-99.398,-99.631,-101.706,-101.877,-101.099,-100.067,-98.728,-100.955,-100.741,-100.276,-101.265,-99.517,-102.953,-101.324,-101.374,-99.837,-100.367,-102.167,-97.954,-103.160,-100.365,-101.795,-102.215,-100.661,-101.262,-101.723,-91.028
