PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
311.352,-57.981,-83.758
316.258,-57.981,-84.087
321.165,-57.981,-82.002
326.071,-57.981,-82.192
330.977,-57.981,-83.019
311.352,-54.725,-83.712
316.258,-54.725,-82.200
321.165,-54.725,-83.542
326.071,-54.725,-82.237
330.977,-54.725,-83.289
311.352,-51.469,-84.801
316.258,-51.469,-84.555
321.165,-51.469,-82.069
326.071,-51.469,-82.766
330.977,-51.469,-83.906
311.352,-48.212,-83.188
316.258,-48.212,-83.662
321.165,-48.212,-83.513
326.071,-48.212,-83.618
330.977,-48.212,-83.908
311.352,-44.956,-83.822
316.258,-44.956,-82.788
321.165,-44.956,-83.595
326.071,-44.956,-81.954
330.977,-44.956,-83.876
