PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
257.887,-34.358,-82.738
275.393,-34.358,-81.944
292.899,-34.358,-82.312
310.405,-34.358,-83.331
327.911,-34.358,-84.366
257.887,-31.174,-83.145
275.393,-31.174,-82.701
292.899,-31.174,-82.125
310.405,-31.174,-84.113
327.911,-31.174,-85.251
257.887,-27.990,-83.405
275.393,-27.990,-83.532
292.899,-27.990,-84.434
310.405,-27.990,-81.097
327.911,-27.990,-84.270
257.887,-24.806,-82.787
275.393,-24.806,-83.805
292.899,-24.806,-84.307
310.405,-24.806,-83.536
327.911,-24.806,-83.527
257.887,-21.621,-82.491
275.393,-21.621,-83.297
292.899,-21.621,-82.605
310.405,-21.621,-83.468
327.911,-21.621,-84.459
