PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
248.209,-56.721,-88.943,-88.721,-89.076,-85.482,-87.113,-90.769,-93.238,-92.452,-86.806,-87.488,-92.177,-88.151,-85.541,-90.394,-89.416,-91.367,-93.313,-86.372,-87.163,-89.304,-89.643,-88.707,-86.591,-88.826,-96.254,-92.682,-89.984,-84.767,-93.533,-88.707,-88.747,-92.767,-91.143,-91.251,-92.747,-90.786,-89.040,-84.977,-86.102,-92.428,-87.098,-86.419,-86.524,-88.415,-91.272,-84.841,-85.105,-88.220,-95.562,-87.326,-89.707,-82.000,-88.314,-88.193,-91.686,-93.970,-87.408,-89.990,-90.390,-88.432,-87.610,-88.300,-95.883,-88.868,-88.718,-85.898,-88.592,-85.748,-87.481,-87.544,-88.027,-88.022,-92.416,-85.628,-86.988,-88.881,-91.028,-86.073,-89.972,-88.648,-85.434,-85.475,-91.778,-85.998,-87.764,-89.634,-89.171,-89.006,-85.358,-85.025,-87.360,-85.729,-84.797,-89.412,-93.420,-90.058,-93.198,-91.630,-90.004,-85.585,-85.119
257.547,-56.721,-88.451,-86.233,-84.002,-90.027,-94.511,-92.320,-85.737,-87.263,-90.199,-98.756,-87.626,-84.857,-84.578,-84.549,-87.938,-87.529,-88.268,-94.295,-85.036,-84.800,-85.896,-86.010,-86.543,-87.375,-86.620,-91.033,-89.371,-89.068,-87.278,-88.197,-88.174,-89.446,-86.903,-86.886,-92.942,-90.662,-92.833,-94.112,-86.405,-90.006,-88.261,-87.636,-92.199,-95.935,-93.905,-98.002,-89.262,-89.712,-89.431,-91.451,-87.740,-90.587,-84.537,-84.400,-91.442,-86.085,-86.659,-86.969,-86.927,-93.076,-89.791,-89.633,-88.129,-87.665,-88.735,-86.099,-85.140,-85.643,-89.052,-89.979,-87.319,-86.671,-90.069,-92.845,-93.874,-90.262,-85.577,-85.445,-91.097,-89.893,-90.652,-90.559,-87.558,-91.978,-85.544,-85.261,-87.915,-91.315,-89.977,-91.993,-91.844,-87.919,-87.874,-88.385,-94.834,-89.517,-98.709,-86.640,-85.757,-88.121,-88.128
266.886,-56.721,-90.052,-85.512,-87.958,-91.134,-91.673,-85.607,-87.942,-85.349,-86.786,-89.983,-90.862,-92.097,-83.842,-83.849,-96.640,-89.140,-88.514,-84.240,-84.738,-94.560,-90.085,-84.852,-87.550,-88.803,-88.001,-91.118,-90.902,-93.809,-85.235,-85.946,-87.613,-87.605,-93.656,-85.190,-92.088,-90.668,-88.374,-86.972,-85.421,-84.939,-88.554,-92.151,-88.263,-88.604,-89.156,-88.841,-93.990,-92.868,-90.871,-93.224,-88.149,-87.937,-85.258,-91.430,-93.057,-90.274,-91.067,-90.305,-90.660,-87.884,-88.326,-87.243,-91.240,-81.604,-81.706,-88.498,-85.345,-85.310,-88.725,-87.544,-87.884,-87.481,-86.223,-90.871,-91.446,-91.222,-92.262,-92.249,-94.189,-89.787,-92.485,-91.231,-91.870,-89.235,-95.973,-89.979,-87.996,-89.563,-85.832,-89.621,-88.549,-86.769,-86.767,-87.359,-88.304,-93.900,-92.718,-87.020,-87.008,-91.609,-87.554
276.225,-56.721,-89.065,-83.574,-84.838,-87.574,-89.788,-86.927,-89.665,-89.605,-91.135,-92.116,-98.084,-88.739,-91.779,-90.287,-88.975,-81.941,-89.541,-89.521,-84.573,-84.381,-91.707,-93.683,-89.433,-88.363,-84.952,-84.941,-94.348,-89.859,-91.738,-88.747,-88.743,-85.665,-86.574,-84.898,-90.748,-93.735,-94.030,-89.183,-91.905,-88.321,-86.418,-84.993,-89.501,-90.829,-85.510,-88.720,-91.424,-88.305,-85.306,-89.471,-89.382,-91.945,-91.700,-87.000,-90.426,-87.043,-86.732,-86.746,-86.147,-90.459,-83.780,-91.432,-88.475,-83.920,-87.893,-88.510,-90.488,-88.245,-86.026,-84.719,-84.571,-87.354,-95.150,-94.481,-96.067,-86.870,-95.862,-84.561,-88.099,-90.335,-94.303,-91.791,-89.876,-89.652,-95.613,-90.423,-88.739,-90.603,-85.438,-87.080,-86.816,-89.637,-91.872,-89.473,-87.172,-87.734,-88.009,-96.343,-93.931,-95.284,-87.899
285.564,-56.721,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000
294.902,-56.721,-83.811,-86.911,-87.534,-82.356,-82.335,-86.829,-87.547,-86.865,-86.863,-89.397,-88.043,-88.302,-85.373,-87.017,-91.669,-84.980,-86.789,-90.479,-85.205,-86.946,-89.999,-94.518,-85.247,-87.754,-87.745,-88.036,-88.158,-86.108,-88.450,-89.094,-86.452,-87.519,-88.205,-84.580,-91.070,-88.110,-87.403,-88.069,-92.572,-87.518,-85.691,-86.427,-84.373,-90.119,-89.621,-87.100,-87.662,-88.610,-84.811,-84.877,-91.669,-89.664,-84.197,-83.816,-86.894,-86.373,-87.921,-87.833,-89.098,-90.488,-85.958,-85.781,-84.877,-87.511,-86.779,-87.092,-87.841,-90.779,-85.930,-89.567,-88.044,-90.515,-89.809,-85.723,-84.884,-84.034,-85.456,-86.700,-87.220,-86.531,-88.104,-89.577,-85.383,-88.525,-85.291,-88.983,-92.522,-88.090,-86.409,-89.320,-87.130,-87.605,-86.285,-86.446,-87.707,-85.753,-88.533,-90.464,-92.016,-91.249,-89.782
304.241,-56.721,-92.437,-89.577,-87.387,-86.293,-85.483,-95.481,-94.866,-92.226,-92.979,-86.714,-92.692,-88.320,-87.623,-92.021,-87.971,-83.045,-88.428,-91.768,-90.622,-92.513,-89.542,-93.630,-88.308,-87.743,-87.806,-85.071,-91.959,-90.395,-93.060,-86.477,-87.816,-93.623,-85.255,-86.438,-91.780,-85.125,-84.307,-94.705,-88.666,-87.530,-89.739,-93.176,-92.469,-84.770,-87.469,-87.051,-89.758,-87.173,-88.583,-87.669,-91.155,-87.073,-87.199,-89.275,-90.467,-87.581,-89.021,-89.211,-92.333,-93.241,-90.960,-92.268,-92.058,-88.683,-88.334,-87.605,-89.128,-91.468,-93.250,-90.725,-86.399,-86.457,-93.292,-87.922,-90.410,-86.805,-88.273,-86.934,-88.631,-88.003,-86.957,-87.035,-88.211,-91.730,-93.159,-87.069,-88.985,-89.829,-89.836,-92.095,-90.546,-90.473,-97.595,-88.854,-89.109,-84.971,-89.711,-93.115,-87.655,-87.671,-89.050
313.580,-56.721,-87.822,-85.894,-86.339,-92.319,-92.180,-87.846,-88.011,-87.960,-87.150,-92.966,-96.286,-93.231,-88.840,-85.605,-86.403,-87.487,-88.356,-87.451,-87.969,-87.223,-88.100,-90.299,-91.107,-91.781,-91.170,-87.104,-88.620,-88.107,-88.186,-88.315,-89.008,-91.901,-92.920,-83.890,-83.882,-85.035,-89.620,-93.083,-93.207,-91.290,-84.583,-89.801,-88.233,-90.581,-84.268,-85.749,-91.808,-85.183,-89.162,-87.646,-86.501,-86.545,-88.043,-89.055,-88.423,-84.296,-95.602,-97.573,-90.206,-90.200,-91.688,-87.507,-91.560,-93.239,-90.675,-92.232,-90.515,-89.146,-90.518,-88.576,-89.834,-94.519,-96.471,-89.768,-90.291,-96.152,-88.561,-86.380,-93.173,-88.485,-89.305,-89.125,-89.305,-89.033,-85.500,-92.355,-89.193,-92.815,-89.499,-86.883,-90.058,-87.949,-84.566,-88.016,-89.601,-87.787,-87.175,-93.258,-91.249,-90.105,-91.428
322.919,-56.721,-84.905,-91.233,-90.792,-90.428,-86.467,-89.289,-87.297,-89.997,-93.243,-90.124,-85.916,-84.183,-89.726,-88.636,-89.883,-90.672,-91.567,-91.578,-88.179,-89.365,-88.671,-86.751,-95.154,-94.731,-89.632,-90.676,-89.059,-86.823,-85.550,-86.656,-89.748,-88.784,-87.144,-84.973,-85.523,-94.158,-87.785,-88.030,-89.712,-84.364,-84.527,-90.690,-90.035,-92.467,-92.257,-89.858,-88.378,-84.876,-84.855,-93.639,-89.204,-85.362,-84.736,-87.070,-86.469,-89.891,-90.201,-88.783,-89.049,-83.423,-84.570,-86.983,-86.327,-89.117,-90.409,-88.451,-91.805,-89.807,-92.727,-88.020,-88.001,-86.897,-86.822,-90.346,-87.303,-87.666,-87.216,-84.211,-85.902,-89.924,-89.762,-89.633,-92.369,-85.172,-85.186,-92.072,-99.690,-87.289,-86.997,-88.767,-85.943,-86.962,-85.043,-85.706,-85.667,-83.319,-90.633,-88.855,-88.559,-87.458,-88.159
332.257,-56.721,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000,-1000.000
